Isolate ID,Collection date,Date,,Island,Sample type,Species,Automated SBI,MLST,Total length,GC (%),Depth,Contigs,CDS,N50,stx1A,stx1B,stx2A,stx2B,Automated_SBI,SBI,O-type,H-type,Serotype,eae,ehxA,hlyE,stx1a,stx2a,stx2c,RB_level 1,RB_level 2,RB_level 1b
H14ER-1075,2014,13/03/2014,,SI,human,E. coli,WY12a,11,5401896,50.24,90,131,5167,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
H14ER-115,2014,7/01/2014,,SI,human,E. coli,ASY2c,11,5462246,50.26,145,154,5230,211465,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
H14ER-1245,2014,14/04/2014,,NI,human,E. coli,WY12a,11,5444167,50.22,140,144,5221,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
H14ER-1346,2014,28/04/2014,,NI,human,E. coli,AY2a,11,5415888,50.25,96,143,5195,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
H14ER-519,2014,14/02/2014,,SI,human,E. coli,AY2a,11,5511802,50.12,113,148,5321,178918,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,3,1
H14ER-913,2014,13/03/2014,,NI,human,E. coli,AS2c,11,5449761,50.28,120,129,5202,222897,0,0,1,1,AS2c,AS2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
h160a,2011,24/03/2011,,NI,bovine,E. coli,AY2a,11,5414207,50.26,125,158,5192,184636,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
H174a,2009,21/08/2009,,NI,bovine,E. coli,WY12a,11,5334619,50.27,120,142,5069,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
h25a,2010,18/01/2010,,NI,bovine,E. coli,WY12a,11,5235177,50.22,193,188,4941,127409,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
H81a,2009,10/08/2009,,NI,bovine,E. coli,AY2a,11,5443021,50.29,100,158,5220,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
Reference,2006,12/09/2006,,SI,bovine,E. coli,AY2a,11,5372234,50.29,109,113,5135,188961,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
T53a,2010,17/08/2010,,SI,bovine,E. coli,SY2c,11,5272524,50.16,189,207,4987,132998,0,0,1,1,SY2c,SY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
